claim,value
version,0.37.0
source_rows,1067371
partition_count,25
canonical_partition_bytes,9806373
full_incremental_exact_parity,true
idempotent_noop_rows_scanned,0
idempotent_noop_large_source_hashes_computed,0
interruption_after_completed_partitions,7
durable_rows_reused_after_interruption,257045
restart_partitions_skipped,7
restart_rows_scanned,810326
interrupted_resume_exact_parity,true
targeted_repair_partition,2010-12
targeted_repair_rows_scanned,65004
targeted_repair_scan_reduction_fraction,0.9390989637155216
targeted_repair_restored_exact_output_hashes,true
full_source_integrity_audit_hashes,25
total_repository_tests,88
