claim,value
version,0.36.0
source_rows,1067371
calendar_days,739
missing_customer_rows,243007
cancellation_rows,19494
purchase_line_rows,1041670
revenue_semantic_delta,-0.08035934679114504
customer_population_semantic_delta,0.010888057162300102
revenue_semantic_action,WITHHOLD_AS_DROP_IN_REPLACEMENT
customer_population_semantic_action,WITHHOLD_AS_DROP_IN_REPLACEMENT
forecast_approved,0
forecast_withheld,4
revenue_mape,0.2528065769430339
revenue_wape,0.28504274464842294
orders_mape,0.20944756772581122
orders_wape,0.1531286436066848
units_mape,0.26203222309746527
units_wape,0.2933953939419218
active_customers_mape,0.22787316849634798
active_customers_wape,0.17027027027027028
source_archive_sha256,572e36277c2390fbfde10664750731e0a86f55e33470d91919085f0408e67bfb
workbook_sha256,bcbe73b35f5b7babf197fb0cb983a11f5d9ff929078d4aa53d171b1f2df2e980
