claim,value
version,0.40.0
valid_requests,12
valid_consumers,12
max_workers,8
mixed_workload_requests,15
injected_failure_requests,3
isolated_reporting_contract_failures,3
aggregate_metric_partitions_selected,27
aggregate_metric_files_hashed,27
aggregate_rows_returned,652
unique_metric_partitions_touched,16
hot_partition_parallel_consumers,6
hot_partition_unique_payload_hashes,1
serial_concurrent_exact_result_parity,true
serial_concurrent_workload_digest_parity,true
serial_workload_digest,ef1adcc2dc091ad9ad00c16175ea7b38c8f6fec084c4c1700c6c50c127376e7e
concurrent_workload_digest,ef1adcc2dc091ad9ad00c16175ea7b38c8f6fec084c4c1700c6c50c127376e7e
cross_schema_core_hash_parity,true
healthy_results_preserved_in_mixed_workload,true
healthy_results_preserved_after_failures,true
wall_clock_gate,false
